Veículo,Sequencia,Node_Index_OR,Pedido_Index_DF,ID Pedido,Cliente,Endereço,Demanda,Carga_Acumulada,Latitude,Longitude
CUD1371,1,10,9,Pedido_9,N/A,N/A,60,0,-23.4532507,-46.4388941
CUD1371,2,1,0,Pedido_0,N/A,N/A,120,60,-23.7035411,-46.5949433
CUD1371,3,29,28,Pedido_28,N/A,N/A,115,180,-24.2026378,-46.835336
CUD1371,4,30,29,Pedido_29,N/A,N/A,230,295,-23.11694,-46.55028
CUD1371,5,106,105,Pedido_105,N/A,N/A,100,525,-23.11694,-46.55028
CUD1371,6,109,108,Pedido_108,N/A,N/A,120,625,-23.1159122,-46.5488536
CUD1371,7,141,140,Pedido_140,N/A,N/A,140,745,-23.51056,-46.87611
CUD1371,8,161,160,Pedido_160,N/A,N/A,900,885,-24.52,-48.10806
CUD1371,9,147,146,Pedido_146,N/A,N/A,20,1785,-23.4953736,-46.9513761
CUD1371,10,95,94,Pedido_94,N/A,N/A,150,1805,-23.285001,-47.2893848
CUD1371,11,67,66,Pedido_66,N/A,N/A,240,1955,-23.99306,-46.25639
CUD1371,12,39,38,Pedido_38,N/A,N/A,280,2195,-23.135,-46.46528
CUD1371,13,185,184,Pedido_184,N/A,N/A,120,2475,-23.423113,-46.4937482
CUD1371,14,105,104,Pedido_104,N/A,N/A,140,2595,-23.46278,-46.53333
CUD1371,15,159,158,Pedido_158,N/A,N/A,240,2735,-23.26417,-47.29917
OJH3B65,1,23,22,Pedido_22,N/A,N/A,235,0,-24.70806,-47.55528
OJH3B65,2,34,33,Pedido_33,N/A,N/A,100,235,-22.90556,-47.06083
OJH3B65,3,125,124,Pedido_124,N/A,N/A,1440,335,-23.5539916,-46.8262051
OJH3B65,4,120,119,Pedido_119,N/A,N/A,120,1775,-22.9521237,-46.546414
OJH3B65,5,178,177,Pedido_177,N/A,N/A,200,1895,-23.0785522,-47.2069032
OJH3B65,6,76,75,Pedido_75,N/A,N/A,20,2095,-23.46667,-46.46667
OJH3B65,7,84,83,Pedido_83,N/A,N/A,280,2115,-23.563419,-48.0152876
OJH3B65,8,176,175,Pedido_175,N/A,N/A,240,2395,-23.1521891,-47.0570231
OJH3B65,9,177,176,Pedido_176,N/A,N/A,475,2635,-23.1582683,-47.0422031
OJH3B65,10,163,162,Pedido_162,N/A,N/A,440,3110,-23.6992148,-46.6104069
OJH3B65,11,171,170,Pedido_170,N/A,N/A,140,3550,-23.08842,-47.2119
OJH3B65,12,121,120,Pedido_120,N/A,N/A,120,3690,-23.2058183,-46.5886085
OJH3B65,13,157,156,Pedido_156,N/A,N/A,100,3810,-23.4087947,-46.8495441
