Nº Pedido,Cód. Cliente,Nome Cliente,Grupo Cliente,Região,Endereço Completo,Qtde. dos Itens,Peso dos Itens,Latitude,Longitude,Janela de Descarga,Anomalia
3727780,194237,SUPERMERCADO PERNAMBUCO LTDA,Nenhum,Araçoiaba da Serra,"Rua PROFESSOR TOLEDO, 194, Centro, Araçoiaba da Serra",41,810,-23.5050525,-47.6182181,30,false
3728135,11998,MITSUE WATANABE SUPERMERCADO,Rede BIG,Atibaia,"Avenida SÃO JOÃO, 1115, Centro, Atibaia",5,100,-23.1030995,-46.5553392,30,false
3727785,214908,NEW BIG 1 SUPERMERCADOS LTDA,Nenhum,Atibaia,"Avenida JERONIMO DE CAMARGO, 500, Loteamento Loanda, Atibaia",21,400,-23.11694,-46.55028,30,false
3728031,205563,CLAUDETE MINUCCELI DE LIMA EIRELI,Nenhum,Atibaia,"Avenida IMPERIAL, 1126, Jardim Imperial, Atibaia",19,366,-23.1424524,-46.5805774,30,false
3728044,205549,VANDERLEI E PAULO HENRIQUE COMERCIO DE C,Nenhum,Atibaia,"Rua ANTONIO CUNHA LEITE, 2260, PORTAO, Atibaia",27,540,-23.1975293,-46.5844685,30,false
3728153,205176,SUPERMERCADO ONO COMPACTO LTDA,Rede BIG,Atibaia,"Rua ANTONIO CUNHA LEITE, 2458, PORTAO, Atibaia",7,135,-23.1975293,-46.5844685,30,false
3728136,12976,SUPERMERCADO ONO COMPACTO LTDA  EPP,Rede BIG,Atibaia,"Rua NELLO BACCI, 121, TANQUE, Atibaia",13,255,-23.0445236,-46.5692836,30,false
3727905,197821,JULIO CESAR QUINTANILHA MASSAS ALIMENTIC,Nenhum,Atibaia,"Rua CLOVIS SOARES, 59, ALVINOPOLIS, Atibaia",6,120,-23.1197119,-46.5639213,30,false
3728104,13323,W & W BOULEVARD COM. ALIMENTOS LTDA,Rede BIG,Atibaia,"Rua ADOLFO ANDRE, 100, Centro, Atibaia",6,110,-23.1129611,-46.5554752,30,false
3728105,187886,W & W BOULEVARD COM.DE ALIMENTOS LTDA,Rede BIG,Atibaia,"Avenida DA SAUDADE, 61, Centro, Atibaia",5,100,-23.1159954,-46.5492865,30,false
3727818,204962,CENTER CARNES QUALITY LTDA,Nenhum,Atibaia,"Avenida DONA GERTRUDES, 1127, ALVINOPOLIS, Atibaia",5,100,-23.118095,-46.5690266,30,false
3728155,210955,EMPORIO FLAMBOYANT COMERCIO DE ALIMENTOS,Nenhum,Atibaia,"Avenida SANTANA, 2813, NOVA GARDENIA, Atibaia",5,100,-23.11694,-46.55028,30,false
3727773,213331,RESTAURANTE DO QUEIJEIRO 4 LTDA,Nenhum,Atibaia,"Rodovia FERNAO DIAS KM 41,50, S/N, JARDIM DO ALVINOPOLIS, Atibaia",9,170,-23.11694,-46.55028,30,false
3727973,12505,CONVEM SUPERMERCADOS LTDA.,Convém,Atibaia,"Avenida WALTER ENGRACIA DE OLIVEIRA, 39, Estancia Lynce, Atibaia",8,160,-23.1249196,-46.5512118,30,false
3728032,205564,CLAUDETE MINUCCELI DE LIMA EIRELI,Nenhum,Atibaia,"Avenida PREF.ANTONIO JULIO TOLEDO GARCIA LOPES, 701, Jd.das Cerejeiras, Atibaia",13,239,-23.11694,-46.55028,30,false
3728134,187885,B.S COPACABANA COM.DE ALIMENTOS LTDA,Rede BIG,Atibaia,"Rua JAPÃO, 37, Jd.Imperial, Atibaia",7,140,-23.11694,-46.55028,30,false
3728103,12977,W & W BOULEVARD COMÉRCIO DE ALIM. LTDA.,Rede BIG,Atibaia,"Avenida ALFREDO ANDRÉ, 905, Jardim Brasil, Atibaia",5,100,-23.11694,-46.55028,30,false
3728106,187884,B.S COPACABANA COM.DE ALIMENTOS LTDA,Rede BIG,Atibaia,"Avenida PREFEITO ANTONIO J.TOLEDO GARCIA LOPES, 1525, Jd.das Cerejeiras, Atibaia",8,155,-23.11694,-46.55028,30,false
3728156,211582,MERCADO BIG COMERCIO DE ALIMENTOS LTDA,Rede BIG,Atibaia,"Avenida INDUSTRIAL, 399, Jardim das Cerejeiras, Atibaia",5,100,-23.1313373,-46.5806861,30,false
3728140,203882,BW COMERCIO DE ALIMENTOS LTDA,Rede BIG,Atibaia,"Avenida PREF.ANTONIO JULIO TOLEDO GARCIA LOPES, 4903, JD.ESTANCIA BRASIL, Atibaia",5,100,-23.11694,-46.55028,30,false
3728137,203478,BIG SM COMERCIO DE ALIMENTOS LTDA,Rede BIG,Atibaia,"Rua JACI, 60, JD DO LAGO, Atibaia",5,100,-23.11694,-46.55028,30,false
3727820,209253,E. J. R. NASCIMENTO COMERCIO DE CARNES L,Nenhum,Barueri,"Rua ADRIANO AUGUSTO, 275, JARDIM TIMBAUHY / ALDEIA, Barueri",4,80,-23.51139,-46.85306,30,false
3728191,206053,MINI MERCADO GUI BOX LTDA,Nenhum,Barueri,"Avenida ZELIA, 1200, Parque dos Camargos, Barueri",8,160,-23.5409246,-46.8852779,30,false
